FieldID,RA deg,Dec Deg,l,b,nVisits,expLen,Type,AltType
000+02,264.4737783,-27.88034706,0,2,17,1,bulge,
000+04,262.58030985,-26.79814052,0,4,17,1,bulge,
000+08,258.900309,-24.56124352,0,8,6,4,bulge,
000-02,268.3754307,-29.96387408,0,-2,17,1,bulge,
002-04,271.51136145,-29.22000372,2,-4,17,1,bulge,
020+00,276.8822988,-11.48861394,20,0,17,1,bulge,
030+30,254.58535485,10.86925266,30,30,6,1,halo,
120+12,1.983443385,74.62356532,120,12,15,1,disk,
120+45,199.5718869,71.97508933,120,45,6,4,halo,
120-08,7.823723415,54.7570392,120,-8,6,4,disk,substellar
120-12,8.32225911,50.76840263,120,-12,15,1,disk,
150+30,116.18661702,66.10947527,150,30,6,1,halo,
150-08,53.448644985,46.16449975,150,-8,6,4,disk,substellar
169+00,79.143955725,38.13208933,169,0,12,2,disk,
180+12,98.857551105,34.61549958,180,12,15,1,disk,
180-08,78.90030903,24.56124352,180,-8,6,4,disk,substellar
180-12,75.35175036,22.23818015,180,-12,15,1,disk,
184+00,88.712845785,25.50244079,184,0,15,2,disk,
191+00,92.45587266,19.41540048,191,0,15,2,disk,
280+45,176.2944933,-14.90111084,280,45,6,2,halo,
320+45,205.34157705,-16.21068436,320,45,6,2,halo,
COROTA2,102.70025958,-4.450254178,216.822,-2.169,6,1,corot,substellar
M12,251.80922895,-1.948822994,15.715,26.313,18,4,cluster_gc,
M71,298.3605375,18.77272353,56.7,-4.5,12,2,cluster_gc,
N188,11.380173255,85.2702331,122.8,22.4,6,2,cluster_oc,substellar
N2243,97.61858283,-31.7405268,240,-18,15,1,cluster_oc,
270+00,138.00439059,-48.32964278,270,0,6,4,disk1,
300+00,186.4508487,-62.72572864,300,0,6,4,disk1,
330+00,241.11708015,-52.4201825,330,0,6,4,disk1,
CARINA,100.40414133,-50.96668845,260.1132,-22.2229,6,4,halo_dsph,
GD1-1,126.499901565,0.16653931,224.064,20.99,6,4,halo_stream,
OMEGACEN,201.69695325,-47.48001339,309.1019,14.9678,6,4,cluster_gc,
ORPHAN-1,163.2496101,-3.066751125,254.883,48.44,6,4,halo_stream,
PAL5-1,222.4995165,-7.099969075,347.21,45.336,6,4,halo_stream,
SCULPTOR,15.03746271,-33.70833359,287.5435,-83.1577,6,4,halo_dsph,
SGRT-1,80.000451255,24.50005446,180.623,-7.21,6,4,halo_stream,
URMINOR,227.89987545,67.10978596,104.617,44.709,6,4,halo_dsph,
030+00,281.52164895,-2.609135603,30,0,6,4,disk,
060+00,295.9763814,23.89038191,60,0,6,4,disk,
090+00,318.00439065,48.32964278,90,0,6,4,disk,
000-08,274.5348051,-32.85992287,0,-8,6,4,bulge,
000-12,278.85755115,-34.61549958,0,-12,6,4,bulge,
47TUC,6.023994765,-72.08102854,305.8947,-44.8896,6,4,cluster_gc,
K04_083+13,295.6958889,49.90195996,82.842,12.794,6,4,kep_koi,
K06_078+16,288.4121274,46.87563716,77.905,15.899,6,4,kep_koi,
K07_075+17,285.07002945,45.21271461,75.387,17.424,6,4,kep_koi,
K10_079+12,294.125301,46.00456767,78.798,11.962,6,4,kep_koi,
K21_071+10,291.55419675,38.16045996,70.787,10.134,6,4,kep_koi,
020-06,282.3595407,-14.22588819,20,-6,12,4,disk2,
020+06,271.5122346,-8.651198491,20,6,12,2,disk,
025+06,273.88225545,-4.271287593,25,6,12,4,disk,
025-06,284.6301123,-9.776514835,25,-6,12,4,disk,
034+00,283.34655375,0.950568292,34,0,12,2,disk,
034+06,277.99780155,3.678749754,34,6,12,2,disk,
034-06,288.68685405,-1.785876633,34,-6,12,4,disk,
064+00,298.2208521,27.34090837,64,0,12,2,disk,
064+06,292.25753145,30.29359995,64,6,12,4,disk,
064-06,303.862644,24.14860002,64,-6,12,4,disk,
094+00,322.37961405,51.16118196,94,0,12,2,disk,
094+06,315.13464615,55.31666409,94,6,12,2,disk,
094-06,328.37858145,46.63406156,94,-6,12,2,disk,
100+00,330.0035505,55.04987021,100,0,12,2,disk,
100+06,322.81292685,59.63516994,100,6,12,4,disk,
100+12,313.49685465,63.70744506,100,12,12,2,disk,
100-06,335.6680983,50.12970027,100,-6,12,4,disk,
100-12,340.25354745,44.98610459,100,-12,12,2,disk,
116+00,357.9300702,62.06535161,116,0,12,2,disk,
120+06,4.81364139,68.68834538,120,6,12,1,disk,
120-06,7.53601629,56.75047989,120,-6,12,1,disk,
240+08,123.33931593,-19.72987507,240,8,12,4,disk1,
240-08,108.14730822,-27.67835101,240,-8,12,4,disk1,
251+00,122.51249682,-33.28228184,251,0,12,4,disk2,
259+00,128.188108125,-39.86180032,259,0,12,4,disk2,
270-04,133.37914095,-50.98402433,270,-4,12,4,disk1,
281+00,151.41420165,-55.64715067,281,0,12,4,disk2,
281+06,156.98839755,-50.65949592,281,6,12,4,disk2,
281-06,144.27271557,-60.31009906,281,-6,12,4,disk2,
300+04,187.21605465,-58.74318388,300,4,12,4,disk1,
300-04,185.4469188,-66.70281193,300,-4,12,4,disk1,
311+00,210.1285059,-61.78491103,311,0,12,4,disk2,
311+06,207.30034335,-55.96424984,311,6,12,4,disk2,
311-06,214.27042365,-67.52030134,311,-6,12,4,disk2,
330+04,237.03897345,-49.35554883,330,4,12,4,disk1,
330-04,245.78724915,-55.32394066,330,-4,12,4,disk1,
335+06,240.7463343,-44.61962805,335,6,12,4,disk2,
340+06,245.6680713,-41.19209507,340,6,12,4,disk2,
